機器番号,型式,製造番号,カテゴリ
0,MPG-3650,12054879,WJ検査機器
0,MPG-3650,31993,WJ検査機器
0,MPG-3650,32097,WJ検査機器
DC-7055,ECG-3150,86,検査機器
DC-7056,ECG-3150,87,検査機器
DC-7077,AF-201P,140,モニタ
DC-7078,AF-201P,141,モニタ
DC-7091,MEB-9600,23,検査機器
0,AF-201P,155,モニタ
0,CU-172R(CSM-1702),528,モニタ
DC-7124,HBP-8000用PC&ﾌﾟﾘﾝﾀ,DEMO-14,WJ検査機器
0,KC-600P,1,モニタ
DC-7140,EMS-1052,166,治療器救急関連機器
DC-7153,HAMILTON-C6,3127,人工呼吸器
DC-7175,HAMILTON-C6,3465,人工呼吸器
DC-7190,PLS-1100,187,AED
DC-7192,PLS-1100,189,AED
DC-7193,PLS-1100,190,AED
0,JA-694P,2024,0
DC-7218,4272G2001,4.27E+14,検査機器
DC-7247,PLS-1100,234,AED
DC-7250,PLS-1100,237,AED
DC-7251,PLS-1100,238,AED
DC-7252,PLS-1100,239,AED
DC-7253,PLS-1100,240,AED
DC-7290,CHM-4100,2797,検体
DC-7310,WEP-1200-Z03,59,モニタ
DC-7312,WEP-1200-Z03,61,モニタ
DC-7313,WEP-1200-Z03,62,モニタ
DC-7338,HBP-8000,GC000277AF,WJ検査機器
DC-7351,HBP-8000用PC,DEMO-27,WJ検査機器
DC-7366,VA-201R,16,モニタ
DC-7391,ECG-3350,20,検査機器
DC-7392,ECG-3350,21,検査機器
0,CPR-B,A,0
0,CPR-B,B,0
0,CPR-B,C,0
0,CPR-B,D,0
0,CPR-B,E,0
0,CPR-B,F,0
DC-7431,AF-201P,960,モニタ
DC-7431,VA-201R,53,モニタ
0,KD-108D,1,0
0,KD-108D,2,0
0,KC-600P,2,0
0,X216,170367,AED
0,X216,170368,AED
0,X217,362469,AED
0,X217,362470,AED
0,X217,362471,AED
0,X217,362472,AED
0,X217,362473,AED
0,X217,362474,AED
0,SB-310V,340388,AED
0,SB-310V,340389,AED
0,SB-310V,340390,AED
0,SB-310V,340391,AED
0,SB-310V,340392,AED
0,SB-310V,340393,AED
0,H333,31099C　①,AED
0,H333,31099C　②,AED
0,P-740,81179D　①,AED
0,P-740,81179D　②,AED
0,P-740,81179D　③,AED
0,P-740,81179D　④,AED
0,P-740,81179D　⑤,AED
0,P-740,81179D　⑥,AED
0,MEK-1302,180,検体
DC-7463,HAMILTON-H900,33460,人工呼吸器
DC-7464,HAMILTON-H900,33462,人工呼吸器
0,YC-220D,-,計測器
0,DH-223P,948869,モニタ
DC-7483,GAIA(VJPH221),4595927,システム
DC-7495,MR850,2.01E+12,VG_加湿器
DC-7510,CHM-4100,3383,検体
DC-7511,CHM-4100,3384,検体
0,モニタセット 1,1,モニタ
0,モニタセット 2,2,モニタ
0,モニタセット 3,3,モニタ
0,モニタセット 4,4,モニタ
0,モニタセット 5,5,モニタ
0,モニタセット 6,6,モニタ
0,TL-201T,-,モニタ
0,心電計セット,1,検査機器
0,心電計セット,2,検査機器
0,心電計セット,3,検査機器
0,心電計セット,4,検査機器
0,KD-561V,-,治療器救急関連機器
DC-7528,CNS-2101,51,モニタ
0,IF-966P,168,モニタ
DC-7547,CNS-2101,75,モニタ
DC-7548,CNS-2101,76,モニタ
DC-7528,VL-238R,13,モニタ
DC-7568,AED-3250,93,AED
DC-7569,AED-3250,94,AED
0,QP-551D,22,検査機器
DC-7592,HAMILTON-T1/H,20401,人工呼吸器
DC-7608,HAMILTON-C1,36201,人工呼吸器
DC-7609,HAMILTON-C1,36085,人工呼吸器
0,K943A(JL-632P),-,モニタ
0,KC-150P,1,モニタ
0,KC-150P,2,モニタ
0,KC-150P,-,0
0,VA-201R,43,モニタ
0,JL-500P2(Y094A),3863,モニタ
DC-7630,ECG-3250,14,検査機器
DC-7631,ECG-3250,15,検査機器
0,リトルアン,1,AED
0,リトルアン,2,AED
0,リトルアン,3,AED
0,リトルアン,4,AED
0,リトルアン,5,AED
0,リトルアン,6,AED
0,リトルアン,7,AED
0,リトルアン,8,AED
0,Y849B,1,検査機器
0,Y059I,108340,検査機器
0,P256,32136,検査機器
DC-7649,OLV-4202,87,モニタ
DC-7653,WEC-7201,24097,モニタ
0,QS-051D,283,検査機器
0,QS-050D,93,検査機器
0,9000-067768,①,検査機器
0,9000-067768,②,検査機器
0,JL-430U(K939B),909242,モニタ
DC-5835,AY-663P(CSM-1502_64),24188,モニタ
DC-5958,AY-663P,24364,モニタ
DC-5959,AY-663P,24365,モニタ
DC-6014,AY-663P,24159,モニタ
DC-6136,AY-663P,24899,モニタ
DC-6137,AY-663P,24900,モニタ
0,YJ-331Z,LY1,人工呼吸器
0,YJ-332Z,404607450,人工呼吸器
0,IF-917P,145,人工呼吸器
0,IF-917P,316,人工呼吸器
DC-7715,JD-214E,56,検査機器
DC-7729,ECG-3250,372,検査機器
0,6143902766,0,検査機器
DC-7742,YJ-333Z,lot.404865082,0
DC-7758,IF-966P,14,人工呼吸器
DC-7759,IF-966P,15,人工呼吸器
0,ICS-3000,46233985,治療器救急関連機器
0,ICS-3000,46233988,治療器救急関連機器
0,S905A(YN-925P),0,モニタ
DC-7793,VJPH221(PRM-4000),4557129,検査機器
DC-7794,VJPH221(PRM-4000),4557133,検査機器
DC-7769,WEP-1450-Z06,1677,モニタ
DC-7770,TEC-5631,6677,治療器救急関連機器
DC-7771,MEK-1302,453,検体
DC-7772,MEK-1303,2183,検体
DC-7773,MEK-1303,2184,検体
0,TEC-5631,6389,治療器救急関連機器
0,KD-561V,0,治療器救急関連機器
DC-7834,ECG-3350,1294,検査機器
0,MPG-3650,12049144,WJ循環器CRM
0,MPG-3650,12049425,WJ循環器CRM
0,MPG-3650,12049192,WJ循環器CRM
0,MPG-3650,31609,WJ循環器CRM
0,MPG-3650,32080,WJ循環器CRM
0,MPG-3650,12051960,WJ循環器CRM
0,MPG-3650,12049227,WJ循環器CRM
0,MPG-3650,32066,WJ循環器CRM
0,MPG-3650,32142,WJ循環器CRM
0,MPG-3650,12053579,WJ循環器CRM
0,MPG-3650,12054612,WJ循環器CRM
0,MPG-3650,12054616,WJ循環器CRM
0,MPG-3650,12054766,WJ循環器CRM
0,MPG-3650,12048405,WJ循環器CRM
0,MPG-3650,12053836,WJ循環器CRM
0,MPG-3650,32069,WJ循環器CRM
0,MPG-3650,12060841,WJ循環器CRM
0,MPG-3650,12060886,WJ循環器CRM
0,MPG-3650,12053835,WJ循環器CRM
0,MPG-3650,12061711,WJ循環器CRM
0,MPG-3650,32093,WJ循環器CRM
DC-7109,KC-330Z,27,人工呼吸器
DC-7109,KH-330Z,39,人工呼吸器
DC-7109,YS-120P0,0,人工呼吸器
DC-7109,DH-331Z,0,人工呼吸器
DC-7875,KD-105D-01,DC-7875,検査機器
DC-7891,MEM-8301,572,検査機器
DC-7892,MEM-8301,573,検査機器
DC-7905,RAC-5103,4728,検査機器
DC-7939,ZS-630P,111704,モニタ
DC-7977,TG-940P,73,モニタ
DC-7978,TG-940P,74,モニタ
DC-7994,TG-980P2,23,モニタ
DC-8012,HAMILTON-H900,39394,人工呼吸器
DC-8013,HAMILTON-H900,39395,人工呼吸器
DC-8030,INTELLICUFF,13566,0
DC-8031,INTELLICUFF,13567,0
DC-8045,K901,DC-8045,検査機器
DC-8056,IF-917P,1350,モニタ
DC-8067,IF-920P,1636,モニタ
DC-8078,IF-930P,1655,モニタ
DC-8089,IF-932P,296,モニタ
DC-8100,IF-948P,1707,モニタ
DC-8111,IF-950P,426,モニタ
0,BR-993P,0,モニタ
0,YS-095P6,1622537,モニタ
0,YS-096P6,0001622537 ②,モニタ
0,モニタセット７,7,モニタ
0,モニタセット８,8,モニタ
0,モニタセット９,9,モニタ
0,モニタセット１０,10,モニタ
0,モニタセットOPV用,11,モニタ
0,モニタセットOPV用,12,モニタ
0,モニタセットOPV用,13,モニタ
0,動物用モニタセット１,1,モニタ
0,動物用モニタセット２,2,モニタ
0,心電計セット,5,検査機器
0,小児用心電図電極セット１,1,検査機器
0,小児用心電図電極セット２,2,検査機器
0,動物用心電計電極キット,0,検査機器
0,KH-210D,492332,検査機器
0,KH-220D,1591400,検査機器
0,AMPERE-RFG,15594812,WJ循環器AF
0,AMPERE-GRC,15498658,WJ循環器AF
0,TACTI-SYS,36613,WJ循環器AF
0,TACTI-SYS,35528,WJ循環器AF
0,TACTI-SYS,33434,WJ循環器AF
0,ST-MULTI,F110280563,WJ循環器AF
0,TACTI-SYS,34960,WJ循環器AF
0,89013,18800215,WJ循環器AF
0,AMPERE-RFG,18754465,WJ循環器AF
0,AMPERE-GRC,18719693,WJ循環器AF
0,TACTI-SYS,35019,WJ循環器AF
0,TACTI-SYS,35791,WJ循環器AF
DC-8147,AX-510B,19,検査機器
DC-8181,WEP-1650-Z08,35,モニタ
DC-8182,WEP-1650-Z08,36,モニタ
DC-8183,WEP-1650-Z08,37,モニタ
DC-8184,WEP-1650-Z08,38,モニタ
0,MR850,2.20E+11,人工呼吸器
DC-3733,DTK-2241/Medical,3GDQ000179,システム
DC-8229,Y251A,DC-8229,AED
DC-8230,Y251A,DC-8230,AED
DC-8277,AX-301D-01,20029,検査機器
DC-8284,EEG-1290-NE,10001,検査機器
0,TT-410T,33083,モニタ
0,TT-411T,33065,モニタ
0,TT-481T,33037,モニタ
0,TT-480T,33037,モニタ
DC-8298,SAT-1200BN,2307240007,WJ検査機器
0,KC-170P,0,モニタ
0,BSM-WEP用アダプタ　75×75,0,モニタ
0,AX-410G,339553,治具
DC-5835,QM-600P(CSM-1502_64),25133,モニタ
DC-5835,WS-151P(CSM-1502_64),92,モニタ
DC-5835,QM-150P(CSM-1502_64),37,モニタ
DC-5835,QI-151P(CSM-1502_64),86,モニタ
DC-5835,QI-152P(CSM-1502_64),60,モニタ
DC-5958,QM-600P,25483,モニタ
DC-5958,WS-151P,252,モニタ
DC-5958,QM-150P,232,モニタ
DC-5958,DZ-150P,DC-5958,モニタ
DC-5958,QL-003P,DC-5958,モニタ
DC-5958,QI-151P,232,モニタ
DC-5958,QI-152P,152,モニタ
DC-5958,SB-950P,DC-5958,モニタ
DC-5959,QM-600P,25484,モニタ
DC-5959,WS-151P,253,モニタ
DC-5959,QM-150P,233,モニタ
DC-5959,DZ-150P,DC-5959,モニタ
DC-5959,QL-003P,DC-5959,モニタ
DC-5959,QI-151P,233,モニタ
DC-5959,QI-152P,153,モニタ
DC-5959,SB-950P,DC-5959,モニタ
DC-6014,QM-600P,25109,モニタ
DC-6014,WS-151P,51,モニタ
DC-6014,QM-150P,57,モニタ
DC-6014,DZ-150P,DC-6014,モニタ
DC-6014,QL-003P,DC-6014,モニタ
DC-6014,QI-151P,54,モニタ
DC-6014,QI-152P,35,モニタ
DC-6014,SB-950P,DC-6014,モニタ
DC-6136,JA-170P,141,モニタ
DC-6136,YS-118P1,DC-6136,モニタ
DC-6136,WS-171P,30,モニタ
DC-6136,YS-118P8,DC-6136,モニタ
DC-6136,DM-150P,DC-6136,モニタ
DC-6136,QI-171P,7,モニタ
DC-6136,QM-600P,25747,モニタ
DC-6136,QI-152P,367,モニタ
DC-6136,QM-150P,517,モニタ
DC-6136,OTX-TUP-C035J,38,モニタ
DC-6136,OTX-TUS-RC10,23,モニタ
DC-6136,OTX-PMNK006,21,モニタ
DC-6136,OTX-PMNK007,22,モニタ
DC-6163,QL-130W(MEK-1303_362),112,検体
DC-6165,QL-130W(MEK-1303_364),114,検体
DC-6169,QL-130W,97,検体
DC-6137,JA-170P,142,モニタ
DC-6137,YS-118P1,DC-6137,モニタ
DC-6137,WS-171P,31,モニタ
DC-6137,YS-118P8,DC-6137,モニタ
DC-6137,DM-150P,DC-6137,モニタ
DC-6137,QM-600P,25748,モニタ
DC-6137,QI-152P,368,モニタ
DC-6137,QM-150P,518,モニタ
DC-6137,OTX-TUP-C035J,39,モニタ
DC-6137,OTX-TUS-RC10,24,モニタ
DC-6137,OTX-PMNK006,22,モニタ
DC-6137,OTX-PMNK007,23,モニタ
DC-6137,SB-970P,DC-6137,モニタ
DC-6195,TG-121T,70417,モニタ
0,SB-220V,25691,AED
DC-6248,CPR-1100,511,AED
DC-6374,QI-470P,34,モニタ
DC-6375,QI-470P,35,モニタ
DC-6461,QI-470P,80,モニタ
DC-6462,QI-470P,81,モニタ
DC-6499,QI-470P,197,モニタ
DC-6500,QI-470P,198,モニタ
DC-6709,WS-140P,123,モニタ
DC-6710,WS-140P,124,モニタ
DC-6711,WS-140P,125,モニタ
DC-6712,WS-140P,126,モニタ
DC-6944,QP-601P,55,モニタ
DC-6945,QP-601P,56,モニタ
DC-6946,QP-601P,57,モニタ
DC-7011,SC-101V,8,治療器救急関連機器
0,YJ-330Z,405822710,人工呼吸器
DC-7091,DC-960B,23,検査機器
DC-7091,JB-964B,98,検査機器
DC-7091,GG-962B,28,検査機器
DC-7091,SC-900B,59,検査機器
DC-7091,WJ-120B,714,検査機器
DC-7091,RY-960B,144,検査機器
DC-7091,NY-902B,2088,検査機器
DC-7091,NY-903B,1865,検査機器
DC-7140,SC-101V,30,治療器救急関連機器
DC-7310,ZA-024P,18,モニタ
DC-7390,QP-330D(ECG-3350_19),23,検査機器
DC-7391,QP-330D,24,検査機器
DC-7528,WS-140P,2596,モニタ
DC-7547,WS-140P,2653,モニタ
DC-7548,WS-140P,2654,モニタ
DC-7630,YC-320D,DC-7630,検査機器
DC-7631,YC-320D,DC-7631,検査機器
0,SB-220V (X233),27471,治療器救急関連機器
0,SB-220V (X233),27472,治療器救急関連機器
DC-8375,AED-M100トレーニングユニット,65,AED
DC-8376,AED-M100トレーニングユニット,66,AED
DC-8377,AED-M100トレーニングユニット,67,AED
0,IF-917P,2021,人工呼吸器
DC-8353,ARV058(MS-3000),SSS000062,WJ検査機器
0,KC-120P,0,モニタ
DC-8532,ZS-630P,118714,モニタ
DC-8533,ZS-630P,118715,モニタ
DC-8534,ZS-630P,118716,モニタ
DC-8535,ZS-630P,118717,モニタ
DC-8536,ZS-630P,118718,モニタ
DC-8537,ZS-630P,118720,モニタ
DC-8538,ZS-630P,118721,モニタ
DC-8539,ZS-630P,118722,モニタ
DC-8540,ZS-630P,118723,モニタ
DC-8421,TT101,DC-8421,WJ救急麻酔
DC-8422,TT101,DC-8422,WJ救急麻酔
DC-8797,TG-980P2,162,モニタ
DC-8798,TG-980P2,163,モニタ
DC-8402,RMU-N2000,502000932,WJ救急麻酔
